,alpha,beta,delta,gamma
0,0.3819181187441259,0.2607968452423491,0.4716803353569488,0.2534169224355502
1,0.9952793086297937,0.9908862903125588,0.9999984486923114,0.9171603534487877
2,0.9986537857808006,0.9973260489106844,0.9187340345846567,0.4735452554155602
3,0.7539556643550686,0.98270232398191,0.982625330440153,0.28250732607651513
4,0.993082534544133,0.9966556977766952,0.9970363778220869,0.014755438763960871
5,0.9358470075996596,0.9515355384134229,0.14836528951940367,0.964252068884622
6,0.9999999996925363,0.9482356178854775,0.8397470066056957,0.21201737241756427
7,0.5117138219262322,0.15082864479953367,0.8019347953951279,0.11039729988547271
8,0.42780615148682194,0.12500157794000197,0.8344155901644965,0.09297186058100891
9,0.4548803772057007,0.12277131250975071,0.7981229603694078,0.0907914785924787
10,0.4456256994028573,0.12964982194956623,0.781165624800159,0.10655782165397376
