,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1, 1, 1, 1)",3.222422328974517e-13,1.2441729801249064,256,20.808802200000002
1,"(1, 1, 2, 1, 1, 1, 1)",1.5805183689544264,1.247238493967928,448,72.01350260000001
2,"(1, 1, 2, 1, 2, 1, 1)",0.1796043601101525,1.244224676701129,736,43.300773800000016
3,"(1, 1, 2, 2, 1, 1, 1)",0.022989358098704664,1.2441729801249057,1024,38.804219399999994
4,"(1, 1, 2, 1, 1, 1, 2)",8.921061420450214e-12,1.2441729801249057,1312,34.5757059
5,"(2, 1, 2, 1, 1, 1, 1)",6.487255177489715e-12,1.244172980124906,1600,29.124886900000007
6,"(1, 1, 2, 1, 1, 2, 1)",4.840819103593377e-12,1.2441729801249055,1888,25.51882889999999
7,"(1, 2, 1, 1, 1, 1, 1)",1.3830418292097117e-12,1.244172980124906,2080,51.26086680000003
8,"(1, 2, 1, 1, 1, 2, 1)",8.334074171519508e-14,1.2441729801249055,2368,46.65558470000002
9,"(2, 1, 1, 1, 1, 1, 1)",8.770761894538737e-14,1.244172980124904,2560,101.83187020000003
10,"(1, 1, 3, 1, 1, 1, 1)",3.70536934468646e-13,1.244172980124906,2816,69.7586526
11,"(2, 1, 1, 1, 2, 1, 1)",1.2454235174017312e-13,1.244172980124906,3104,89.43995480000001
12,"(1, 2, 2, 1, 1, 1, 1)",4.855375361027351e-14,1.244172980124906,3392,68.56145179999999
13,"(1, 2, 1, 2, 1, 1, 1)",1.4482242565665932e-14,1.2441729801249057,3680,73.79684969999994
14,"(1, 2, 1, 1, 2, 1, 1)",3.85617463886471e-14,1.2441729801249053,3968,50.78964139999994
