,S1,S1_conf,ST,ST_conf
0,0.05483522371373415,0.01602224773522274,0.06226619402505308,0.005059567692229148
1,0.1471435502293661,0.026120612633457562,0.1587379269062215,0.0116261039180945
2,0.10713304585543887,0.021765086365009016,0.11117233534451273,0.008438733542633208
3,0.04728526946480565,0.013572911212045997,0.04693774685656374,0.004304081338211183
4,0.11421010813675743,0.022521918529587275,0.12365983567666858,0.010111384598675882
5,7.274821559068712e-05,0.0005916245520776203,8.92385987624456e-05,1.1506765214426633e-05
6,0.00017492663500940454,0.0005480147507663049,0.00011800862496021632,3.835415257309044e-05
7,0.20631398770679085,0.02846791211375321,0.2134131792078647,0.016104488571694307
8,0.03180192488827932,0.013671433623809251,0.052352916693587936,0.003846917951763327
9,0.2739519061641058,0.02613736751591997,0.28570710922658643,0.017408975698518767
