,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",1.2962163705941137,0.09881479420021975,32,0.8498758999999998
1,"(2, 1, 1, 1)",22.40776622502631,0.17783519857048372,56,0.6704358999999993
2,"(1, 1, 1, 2)",22.053475897047708,0.1747725552208681,80,0.47512429999999917
3,"(1, 2, 1, 1)",22.019434195349827,0.1673450712501347,104,0.2885097999999999
4,"(1, 1, 2, 1)",21.57880665165889,0.13018306827053666,128,0.07022959999999934
5,"(1, 1, 2, 1)",21.57880665165889,0.13018306827053666,128,0.12467320000000015
