,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",3.160022299386611e-09,0.41071095520505463,32,2.588489299999999
1,"(1, 1, 1, 2)",25.01812701529146,1.1105543256778572,56,4.478101499999999
2,"(2, 1, 1, 2)",137412235.49102572,1.1100737414130841,92,6.509495200000002
3,"(2, 2, 1, 2)",11029070266.778263,1.1074840209549626,146,10.074927899999999
4,"(1, 1, 2, 1)",45958750495.8298,0.9996949888040624,170,11.475611
5,"(2, 2, 2, 2)",3296927278.3622694,0.6975478050221997,251,16.0670925
6,"(1, 2, 2, 1)",6283644058.467171,0.9069788610693841,287,18.712992099999994
7,"(2, 3, 1, 2)",15801476037.368208,0.31635098372241816,359,23.563725500000004
8,"(3, 2, 2, 2)",1101711958.7564816,1.127824442079863,467,21.3064543
9,"(2, 1, 1, 1)",6528118595.817772,0.7553444636756718,491,22.6731274
10,"(2, 2, 3, 2)",596117589.3258083,1.4385868189841844,599,21.07056160000002
11,"(2, 3, 1, 3)",373205300.9284978,0.04420039179345415,695,20.050975600000015
12,"(2, 3, 1, 3)",373205300.9284978,0.0432525219898293,2039,24.245205999999996
