,alpha,beta,delta,gamma
0,0.014791593238780537,0.010180872756019003,0.00766654655283468,0.004965087236017403
1,1.6563420116606869e-25,1.1942724298277538e-07,1.8651860691733096e-05,5.572705578125507e-06
2,1.1659130340030991e-24,0.00021819409424429404,1.2659537294755558e-24,0.0009129366772015266
3,0.1394404251469972,0.011234820055277995,0.17028343572017607,0.0033335308790179126
4,0.1399542175086778,0.011416479153658093,0.16777130871075077,0.0034406262062274995
5,0.14029882128916843,0.010585991471398345,0.16834479473030603,0.00411043294668246
6,0.12439620933636172,0.01173942551715618,0.168754071937351,0.004321351359221528
7,0.12457548518521329,0.010938052510217735,0.16909931880655985,0.004394834802555936
8,0.11939662549633957,0.017134711096149655,0.1621684007363672,0.004287985511883356
9,0.1276222228022298,0.022535912724183396,0.16088255121956976,0.004174095493141612
