,alpha,beta,delta,gamma
0,0.5337253821277773,0.22452525201454868,0.5440100044949907,0.21975960771552142
1,0.17018628955948878,0.9710851993135249,0.8454932832205452,0.9999931546049424
2,0.7122413694724086,0.9920557705239779,0.828414126450054,0.28884070664700057
3,0.8490097693018435,0.853239569282443,0.93089896050052,0.11377260550796037
4,0.9917459732564661,0.9253525376441033,0.008654501003006129,0.0742469880964244
5,0.23257776012996725,0.6235949077018869,0.14382733216814586,1.0
6,1.0,1.0230536078981303e-22,4.1532613104151843e-22,1.0
7,0.6922073954770278,0.1934367613846598,0.790764686314295,0.08625811937446212
8,0.6872776619018574,0.19254895380651918,0.7951310550230074,0.08663464626388799
9,0.6895454692616085,0.19068204532953018,0.7972870188283222,0.08573116209577272
10,0.6914009965063642,0.1896116228429958,0.7970976024244741,0.08486756077212464
11,0.6927533362935888,0.20020727744104871,0.8033391540739244,0.0807381713669797
12,0.7029728013334169,0.192110595457936,0.7836955580691568,0.0833707826953473
