,alpha,beta,delta,gamma
0,0.1381903530955404,0.13157413459099865,0.12796616667982139,0.12408966946116883
1,2.9112931536090824e-07,2.624387376217131e-07,1.52639562412049e-06,5.156043321215677e-24
2,5.5536940247922e-07,7.046727952591085e-24,1.4048733539073867e-06,2.4618066466695076e-24
3,4.586058624626026e-24,6.696567724656461e-25,1.3433290900743214e-07,1.4651314092840108e-25
4,1.2989947321739289e-23,2.999132552543231e-24,9.125271842208455e-24,4.778991097016155e-25
5,4.826396021031859e-23,1.6271197936502942e-23,8.118496356349489e-23,3.2628933668050073e-24
6,5.734579461704689e-23,1.7883241567931002e-23,7.838477163757331e-23,6.164683589733075e-24
7,0.10750074511555673,0.03333106212111279,0.14690646997603948,0.0034220493088988955
8,0.10542241986818823,0.031976166836025055,0.15282747530224913,0.0033556228384792456
9,0.10502733950327937,0.028279391255723603,0.15244879706370318,0.003409267926526397
10,0.10540597468084477,0.026245239494561888,0.15135008919370466,0.003485816484189701
11,0.10041392216715717,0.026878929052517393,0.14945970739486633,0.0028286473953927234
12,0.11397884929393302,0.025078262095670056,0.14448366748040029,0.003332578437709157
