,alpha,beta,delta,gamma
0,0.12788233674084118,0.12708456065787763,0.12664951600221777,0.12618209238609718
1,2.44343370686993e-08,2.3699439386074936e-07,8.656604856901428e-09,7.240399619966403e-09
2,4.746445048713718e-08,3.615566892003421e-07,8.151589408660243e-07,3.0067368711018314e-07
3,6.9693174671643084e-09,1.2349645947053454e-08,3.1197182993433124e-09,3.113205963562158e-08
4,2.050857478095507e-09,4.480182701719042e-09,2.7596045893017858e-09,7.33176770492984e-09
5,3.925327152984835e-11,1.6043415023214031e-09,1.5222315441362385e-10,1.2472392979653949e-10
6,1.913390642176925e-10,5.612070140596719e-12,9.587942678499737e-10,4.940375752790533e-10
7,0.08310921577075399,0.023510305131399345,0.14028091672121834,0.0009058792611747323
8,0.09115647316446714,0.04185879950512843,0.1354633638644653,0.0012935708511987996
