,alpha,beta,delta,gamma
0,0.02980305021571901,0.020513075034544134,0.01544704942914913,0.010003976030959904
1,0.17895068245090248,0.025923525756376836,0.018221942603049976,0.007319755640768367
2,0.17714796275136135,0.02383203554823633,0.016234189389995185,0.007381632670573267
3,0.17312710833409434,0.023786492123163635,0.013568293094920629,0.007255173948458399
4,0.14156987568018364,0.02357366293468473,0.1951544663741815,0.005987015520237794
5,0.14156987568018364,0.02357366293468473,0.1951544663741815,0.005987015520237794
