,alpha,beta,delta,gamma
0,0.7865362642621514,0.1863381317259486,0.8192214674543956,0.13213698584713215
1,0.8277769984631238,0.1339752981141917,0.7076335999241085,0.10019819704747858
2,0.825816121448849,0.1404590275448666,0.7055815399970716,0.10354749064904675
3,0.8216081128370605,0.15261083119886287,0.7043457083710952,0.10369828009234429
4,0.6750440557866009,0.11789715257720622,0.7592435416412164,0.08153022948568868
5,0.6750440557866009,0.11789715257720622,0.7592435416412164,0.08153022948568868
