,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",4.6078529880588803e-11,0.30803146038681517,32,1.5294444999999994
1,"(1, 1, 1, 2)",24.130192871466193,1.0712439298213594,56,3.2971012999999996
2,"(2, 1, 1, 2)",40210534583.76121,0.8837206278400097,92,4.910185200000003
3,"(1, 1, 2, 1)",1746411826128.8918,1.0773529141197835,116,6.274987599999999
4,"(1, 2, 1, 2)",306996569160.1275,0.6897104927102937,152,7.956522099999997
5,"(2, 1, 2, 1)",162146915218.7678,0.7317311514434591,188,10.041329800000003
6,"(1, 2, 2, 2)",96102687475.46915,1.0039936135295404,242,12.764004300000003
7,"(2, 2, 2, 1)",26777783908.403637,0.01780146382529152,296,15.558988500000005
8,"(2, 2, 2, 1)",26777783908.403637,0.021167355572667076,1614,18.505586299999997
