,alpha,beta,delta,gamma
0,0.4712824382100708,0.2863141176468321,0.47964876014532953,0.2802149642322328
1,0.9999999999107855,0.9999999998829778,0.999999999897651,0.9999999999313529
2,0.9999999962750534,0.9992337140916832,0.9995547661267884,0.9999999969030767
3,0.9964854263463668,0.9995765512589746,0.9912187750333649,0.9985950699684089
4,0.876621765084792,0.9997448114314291,0.7163523068413988,0.8785153899974742
5,0.8314911695191696,0.9649352814051347,0.7540304957500803,0.34266245993663524
6,0.04096653329103941,0.9911200970929889,0.9359533995597313,0.03424483511212736
7,0.7676326944486227,0.34225865319798915,0.671949471221306,0.38599443651302473
8,0.974275302761623,0.030619543628359752,0.02333446632971059,0.9937555382905362
9,0.11586880421730666,0.47737372632517816,0.7741698593279153,0.6325876101238472
10,0.0034393011123821427,0.995122373700398,0.001438325187020946,0.9999999999999992
11,0.711242679671032,0.2931019207928606,0.8031392907076639,0.09623117607316986
12,0.7103787399953133,0.29314117929761163,0.8074508400773992,0.09567812606757779
