,S1,S1_conf,ST,ST_conf,type,params
0,0.15955319554107092,0.01101795012819288,0.4328878938752634,0.009445682513623167,prey,alpha
1,0.009622745388283973,0.005219657673872187,0.11106283987840708,0.003750691150055475,prey,beta
2,0.4936391796052232,0.012931185972866901,0.7788299388092065,0.01385015524866598,prey,delta
3,0.023204342414057087,0.004882209449887061,0.09508979865288418,0.004553668335192958,prey,gamma
0,0.09218720019764869,0.014677785322395722,0.7077740079561019,0.021286638496004803,pred,alpha
1,0.038260209784762765,0.007473442129325684,0.24694437419200732,0.009002901107020289,pred,beta
2,0.13652553775051066,0.017023582829871615,0.815647299537903,0.02231881943033159,pred,delta
3,0.0021787272661753067,0.0045393865237284975,0.08560677622796402,0.004358002438551802,pred,gamma
