,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",33.05030935450111,,32,3.8653077000000167
1,"(1, 1, 1, 2)",33.01743523458237,,56,4.24754999999999
2,"(1, 1, 1, 3)",33.00865612253254,,88,4.793506499999978
3,"(1, 1, 1, 4)",33.00422579259544,,128,5.904653100000019
4,"(1, 1, 1, 5)",33.00146635263158,,176,5.533608300000026
5,"(1, 2, 1, 1)",32.780278583296194,,200,5.752737299999978
6,"(1, 2, 1, 3)",32.744395771159084,,248,7.231745099999955
7,"(1, 3, 1, 1)",32.697967511272836,,280,7.284697499999993
8,"(1, 4, 1, 1)",32.650579376218744,,320,7.64741859999998
9,"(1, 5, 1, 1)",32.62022547234084,,368,7.781258900000012
10,"(1, 1, 2, 4)",32.57789809527135,,428,6.7408349000000385
11,"(1, 1, 2, 2)",32.568181986860964,1.0791768125509107,464,8.535487700000033
12,"(2, 1, 1, 3)",1.9138113352005913e+28,,512,5.007962899999995
13,"(2, 1, 1, 2)",32.528700489960976,1.411815918967221,548,5.881885100000034
14,"(2, 2, 1, 3)",69632950168653.25,0.09905001828803983,620,5.132882499999994
