,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",33.05030935450111,,32,3.8869690999999875
1,"(1, 1, 1, 2)",33.01743523458237,,56,3.9692337999999836
2,"(1, 1, 1, 3)",33.00865612253254,,88,4.801141400000006
3,"(1, 1, 1, 4)",33.00422579259544,,128,6.119843500000002
4,"(1, 1, 1, 5)",33.00146635263158,,176,7.390738299999953
5,"(1, 1, 1, 6)",32.999592437209365,,232,7.118690900000047
6,"(1, 2, 1, 1)",32.780278583296194,0.3854917922214837,256,10.092374800000016
7,"(1, 1, 2, 1)",5.49708478692232e+27,1.0791768125543968,280,8.806914799999959
8,"(2, 1, 1, 5)",1155272956271237.5,0.09679748686884422,352,5.19859550000001
