,alpha,beta,delta,gamma
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,0.13033858114550234,1.8686022576862922e-27,0.8696614188573599,4.554469262823684e-31
7,0.9999999999967558,1.0957446423340187e-30,2.593280942409354e-28,1.1800722947935541e-29
8,0.20582024329358573,0.003762313921399992,0.5094628796173498,0.025802978670367377
