,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",33.05030935450111,0.009903367347952967,32,17.6606923
1,"(1, 1, 1, 2)",33.01743523458237,0.009012800653396432,56,20.40338450000001
2,"(1, 1, 1, 3)",33.00865612253254,0.009030744085154854,88,24.089799999999997
3,"(1, 1, 1, 4)",33.00422579259544,0.009034093103802075,128,22.1940429
4,"(1, 2, 1, 1)",32.780278583296194,,152,22.257442100000006
5,"(1, 2, 1, 2)",32.751046618296755,0.014219345842805629,188,17.160323199999993
6,"(1, 1, 2, 3)",2101833485862925.2,0.02350500791812985,236,24.0567997
7,"(2, 1, 1, 1)",1155206899212142.2,0.022781905115142304,260,22.8667351
8,"(1, 2, 2, 2)",9.39836182853591,0.026542252060573,314,12.81792679999998
9,"(3, 1, 1, 1)",9.175606770633477,0.025078392948010283,346,8.65005149999999
10,"(4, 1, 1, 1)",9.502239010838819,0.025116305771936617,386,8.492317100000008
11,"(1, 3, 1, 2)",7.343656074643622,0.024902048429459592,434,7.648689499999989
