,alpha,beta,delta,gamma
0,0.12985308871412932,0.4347090402006612,0.019120458942717345,0.3709181235907551
1,0.24096117656521882,0.004105068933140289,0.03585729048339432,0.6947950126304707
2,0.7981810065563224,0.013606644963981595,0.11927606047707993,0.0003086147952188552
3,4.802866180107675e-27,9.763640990971376e-28,1.0,3.0548812955041242e-27
4,0.0,0.0,0.0,0.0
5,0.008282430203051914,0.013538199016216543,0.014074632963330513,0.0018778767926106604
6,0.02401474044929055,0.21678787729302923,0.14515320956647584,0.02525060077200995
