,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",33.05030935450111,,32,27.412439
1,"(1, 1, 1, 2)",33.01743523458237,,56,30.6719462
2,"(1, 1, 1, 3)",33.00865612253254,,88,34.8233479
3,"(1, 1, 1, 4)",33.00422579259544,,128,32.12705969999999
4,"(1, 2, 1, 1)",32.780278583296194,,152,32.04057710000001
5,"(1, 2, 1, 2)",32.751046618296755,1.431587909640081,188,34.006153600000005
6,"(2, 1, 1, 1)",1.9761062670775296e+16,0.5464545552828063,212,33.6862041
7,"(2, 1, 2, 1)",2094893076987036.5,1.1988239298360255,248,37.00699900000001
8,"(2, 2, 1, 2)",63618288570423.72,1.1250401826142362,302,33.88842770000002
9,"(1, 2, 2, 2)",34528310733833.777,0.48599253954209964,356,34.212831600000015
10,"(1, 3, 1, 1)",151.05280001435096,0.444091450917471,388,31.148072000000013
11,"(1, 4, 1, 1)",148.0154257050696,0.4838335140062426,428,29.456511799999987
12,"(3, 1, 1, 1)",141.90136799201875,0.4771822549150046,460,36.2702668
13,"(4, 1, 1, 1)",137.9708189086424,0.4812563129760268,500,28.379127700000026
14,"(2, 1, 3, 1)",98.37809788529695,0.5370237845597071,548,27.557292800000027
