,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",320.5810739833797,1.0179660609623593,32,3.4201324999999994
1,"(1, 2, 1, 1)",5435372891338864.0,1.073984770072662,56,7.476125699999997
2,"(1, 1, 1, 2)",5022919917547965.0,1.0506058197734558,80,7.0896592
3,"(2, 1, 1, 2)",2.0375743928968945e+28,0.5621781753610285,116,8.155588399999996
4,"(1, 2, 2, 1)",1.8856144376377972e+28,0.7593912122744143,152,7.9143154
5,"(1, 3, 2, 1)",2588084331234040.5,0.5167614900545058,200,5.266130199999999
6,"(1, 2, 3, 1)",2211416612889478.0,0.5084825280569878,248,3.3388548
7,"(2, 1, 1, 3)",1408613622851553.8,0.6621753079179524,296,1.564951899999997
8,"(3, 1, 1, 2)",1751725408890245.2,0.6263700687001325,344,0.811197700000001
