,chosen_index,local_error,global_error,no_nodes,run_time
0,"(0, 0, 0, 0)",30.935966997793358,,2,0.15246420000000072
1,"(1, 0, 0, 0)",35.732118951573845,,4,0.17849059999999994
2,"(2, 0, 0, 0)",36.41466999638275,,7,0.2835827999999996
3,"(3, 0, 0, 0)",36.69753775762565,,11,0.5025685000000006
4,"(3, 0, 0, 1)",36.25767454734108,,19,0.6753247
5,"(3, 0, 0, 2)",36.1678227910463,,31,1.0406019000000004
6,"(3, 0, 0, 3)",36.13018549360928,,47,0.8846571000000001
7,"(0, 0, 1, 0)",35.33393992560135,,49,0.7513781000000002
8,"(0, 0, 2, 0)",35.56080914027071,,52,0.9070215000000008
9,"(0, 0, 3, 0)",35.729808325811554,,56,0.6377875999999993
10,"(3, 1, 0, 0)",34.636337905583304,1.125992836259083,64,0.5869356000000003
11,"(3, 2, 0, 0)",1.151570278716432e+16,1.1104967825782555,76,0.3560277999999997
12,"(0, 1, 1, 0)",9352347333957280.0,1.0022061755060379,80,0.2661192999999997
13,"(3, 3, 0, 0)",3525314513882626.0,1.012186774866743,96,0.08536710000000092
