,alpha,beta,delta,gamma
0,0.15204380910690846,0.4755730788842251,0.03650816686181865,0.3816601259701181
1,0.2562647153308913,0.019986467323827074,0.047854494524996356,0.7005966060820755
2,0.9871515715732367,4.1526810951168964e-26,0.02293957520849864,1.6485485402706923e-28
3,3.7907492388631364e-27,5.459269893014826e-26,1.0,2.259668614175357e-26
4,0.1514732053304297,0.4455323409911404,0.3915402381900513,0.4544388179247495
5,0.1608972576218415,0.3418549030654108,0.5583769152584718,0.29975612495271836
6,0.23412724337042776,0.40145392637906513,0.49118071254350026,0.1601763083859347
7,0.15890797253973316,0.549627228936784,0.4795181614467212,0.07232847255856385
8,0.09480665563599742,0.5173371226009149,0.5805739693778847,0.06003435764039734
