,alpha,beta,delta,gamma
0,0.12982230236699605,0.43460597678071394,0.019115925749920878,0.37083018410295415
1,0.24089642678121062,0.004103965841220884,0.03584765510624762,0.6946083110728213
2,0.9770604247915015,9.219198011615843e-29,0.012848428426763106,3.391587966973492e-30
3,3.507371376586962e-27,7.412078721070635e-28,1.0,2.5504441929747698e-27
4,0.11967038900330101,0.07117181625468189,0.27123471919909187,0.09574242010402953
5,0.12177104418847845,0.20411800343725364,0.26077180788951787,0.056661238257994566
6,0.16680344261892815,0.20248466082142424,0.2755953316721399,0.07054318719008387
7,0.11265018087383284,0.3351043111308146,0.2929408689838751,0.010560433186440421
8,0.042759366852178106,0.29556637087735194,0.4008381925584787,0.009371300896907103
