,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",4.05939726277893e-11,0.26756829619600575,32,1.429678700000295
1,"(1, 1, 2, 1)",9.908444585701533,0.7776512814432829,56,3.227650199999971
2,"(1, 1, 1, 2)",4169100241276.297,1.0452516448960443,80,3.628647600000022
3,"(2, 1, 2, 1)",3366445379030.086,1.270864036105593,116,5.339085599999635
4,"(2, 2, 2, 1)",3910559365516.285,1.4948558305719175,170,4.893823899999916
5,"(1, 2, 1, 2)",1775492117683.9905,1.1954930463626794,206,7.541221799999676
6,"(2, 1, 2, 2)",546088273114.19806,0.009638406025075427,260,7.870908500000041
