,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",5.528597579740335e-10,0.42087468215107504,32,2.2261233999997785
1,"(1, 1, 2, 1)",7.870425912479592,1.4920323479880513,56,4.154485000000022
2,"(1, 2, 1, 1)",4150301360894.5366,1.2472391517435437,80,4.8554157000003215
3,"(1, 1, 1, 2)",642001713639.0858,1.0734385041064631,104,5.798117900000307
4,"(1, 2, 2, 1)",216816474499.30344,1.1887369434846347,140,11.420801299999766
5,"(2, 1, 1, 1)",814062665681.4435,1.6095562406834727,164,18.374282100000073
6,"(1, 2, 2, 2)",279708867236.6363,1.1293177890547643,218,15.15554800000018
7,"(2, 2, 2, 2)",73571390178.74406,0.10248074242974953,299,13.431072000000313
