,alpha,beta,delta,gamma
0,0.1520442216483815,0.47557367691866703,0.0365092143576241,0.38166039315896444
1,0.2562653634552358,0.019989204984853015,0.04785659068947626,0.7005954633551257
2,0.9871515752072451,4.152720671133196e-26,0.022939851557131838,1.655475141191157e-28
3,3.790804947531779e-27,5.45927600193945e-26,1.0,2.2596726114510601e-26
4,0.1514717700003925,0.44554449850752514,0.391554619149265,0.4544455186595573
5,0.07220483616954523,0.8907200137422953,0.09607168082270012,0.8795091520010591
