,alpha,beta,delta,gamma
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,0.23391580334406958,-2.064840521072783e-12,0.7660841966529269,3.1911171689306643e-12
6,1.0,3.244549339084133e-12,2.4334120043130996e-12,4.0556866738551664e-12
7,0.38487442490276724,0.05459249994647103,0.7195206608478776,0.06018247682024429
8,0.3830276534637039,0.05686861373766911,0.7355490893721847,0.05939595859282042
9,0.3835817167607573,0.05872395670712273,0.7341219440096294,0.05926479492467661
10,0.3830863990080356,0.0583231865500991,0.7346979044794222,0.05908815596872529
11,0.38287881541616586,0.05845680793882216,0.7345331506792367,0.05927899386477253
