,alpha,beta,delta,gamma
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,0.9557645592979083,0.9798180965122054,0.7462629747159023,0.027658895255772933
11,0.0896838355547052,0.546787467776221,0.5373708911343511,0.8948013521813419
12,0.08437246690746678,0.30307836379646264,0.7542515550022046,0.9074994995777506
13,0.07571083586111899,0.29291362417305283,0.7568986508370807,0.9161944400287806
