,alpha,beta,delta,gamma
0,0.25000000000000794,0.24999999999999525,0.24999999999999525,0.25000000000000155
1,0.28617620976287084,0.2861762097628621,0.30673806146831334,0.28617620976288816
2,0.1533963357811825,0.3962714866677256,0.20974528653162733,0.39627148666773426
3,0.150299495532095,0.7649328916308311,0.19218118702157141,0.031120101744319572
4,0.5065802607710785,0.2195069935010848,0.6456399851822074,0.11086907848160847
5,0.5098048366561672,0.999990462476266,0.019639798746154135,0.4901789290473841
6,0.9930391961871449,0.004293155213000707,0.8870875767509933,0.9991333473149133
7,0.9736003271905453,0.06286236463270656,0.9800630468428042,0.8955705003669979
8,0.17239046918771864,0.4004567913318746,0.6245089062573494,0.4671152702070753
9,0.2113036559666428,0.13824174817075824,0.6959715246135073,0.7057042348310689
10,0.6899775873803835,0.3284031546917117,0.9631587817493484,0.31590970304819926
11,0.667878600171667,0.33427747392951856,0.9252866050853986,0.33241625576838996
12,0.8173037074676613,0.1523415597234607,0.8853924947203045,0.10162480154990194
13,0.7511559835729668,0.10171861411849324,0.9875036154263075,0.12030071152608371
