,alpha,beta,delta,gamma,e,f,g,h
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,1.0,1.0209546908021228e-11,6.282798097243833e-12,-1.5706995243109582e-12,-3.1413990486219165e-12,-3.1413990486219165e-12,,3.926748810777395e-12
7,0.696431336324179,0.17660037849790994,0.10131259984346878,0.3331164387898375,7.531138832625783e-05,7.531138832625783e-05,,0.011849345157099797
