,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1, 1, 1, 1)",1.0398626404395372e-13,0.4289495956353744,256,20.505577000000002
1,"(2, 1, 1, 1, 1, 1, 1)",0.43105046425823274,0.43025563321254257,448,49.7716246
2,"(2, 2, 1, 1, 1, 1, 1)",0.04310504642572918,0.4289495956353739,736,44.59213799999999
3,"(2, 1, 1, 1, 1, 1, 2)",2.6019618558513636e-12,0.42894959563537394,1024,40.5581177
4,"(2, 1, 1, 2, 1, 1, 1)",2.1216917112099054e-12,0.42894959563537394,1312,35.42319599999999
5,"(2, 1, 1, 1, 1, 2, 1)",1.355289337546929e-12,0.42894959563537394,1600,31.769681599999984
6,"(2, 1, 2, 1, 1, 1, 1)",1.3443228012259094e-12,0.42894959563537394,1888,28.37960449999997
7,"(2, 1, 1, 1, 2, 1, 1)",6.59916565837193e-13,0.42894959563537394,2176,397.5765748
8,"(1, 1, 1, 1, 1, 2, 1)",2.681188604469753e-14,0.42894959563537394,2368,80.86852219999992
9,"(1, 1, 2, 1, 1, 1, 1)",2.6612971086118858e-14,0.42894959563537394,2560,166.74767829999996
10,"(3, 1, 1, 1, 1, 1, 1)",1.428371310119303e-14,0.42894959563537394,2816,176.859421
11,"(1, 2, 2, 1, 1, 1, 1)",1.1524731786178361e-14,0.42894959563537394,3104,158.64951380000002
