,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1, 1, 1, 1)",69.50832025543997,,256,50.33186730000034
1,"(1, 1, 1, 2, 1, 1, 1)",71.01095259403945,,448,43.16486780000014
2,"(1, 1, 1, 1, 1, 1, 2)",69.59531245701763,,640,36.12935850000031
3,"(1, 1, 1, 1, 2, 1, 1)",69.51866634917526,,832,40.28681610000058
4,"(1, 1, 1, 1, 1, 2, 1)",69.37032398625415,,1024,35.916834100000415
5,"(1, 1, 2, 1, 1, 1, 1)",69.00740439954804,,1216,34.10378200000014
6,"(1, 2, 1, 1, 1, 1, 1)",66.5025862020821,0.8942358958801296,1408,30.43283379999957
7,"(2, 1, 1, 1, 1, 1, 1)",1174019772954865.0,0.7882767858332441,1600,25.812659299999723
