,alpha,beta,delta,gamma,e,f,h
0,0.9900990099009916,0.009900990099008319,1.1967230624887631e-23,2.234151910066777e-23,8.815648697744728e-24,1.5725270159611144e-23,3.611669525694811e-23
1,0.9951148905373622,0.004885109462637777,5.404858921142073e-24,1.0646536355500797e-23,4.316716884862744e-24,7.22674217951861e-24,1.751972111415219e-23
2,0.9900990099009896,0.009900990099010295,5.345013679163516e-24,1.042992126900089e-23,4.3470873027546536e-24,7.258491959068645e-24,1.756013106527434e-23
3,0.9900990099009901,0.009900990099010002,4.585663861478683e-24,9.289083362060673e-24,4.202854078332314e-24,6.3553983703219636e-24,3.311014508966838e-24
4,0.9900990099009901,0.009900990099009898,3.6436646271314235e-24,8.795108107427527e-25,2.6184853844188093e-24,3.71990310516028e-24,2.0267953232761145e-24
5,0.9900990099009899,0.009900990099010052,3.6400030037232064e-24,6.235060337071115e-25,1.537949986955897e-24,1.4954883157567424e-25,1.106380319012533e-24
6,0.9900990099009902,0.009900990099009804,2.604769130582061e-26,2.385823256174866e-26,8.906434698738624e-25,1.0986786709259817e-26,2.068538560788935e-25
7,0.9900990099009901,0.009900990099009912,1.1960711662200049e-29,1.3617414678248078e-29,1.3271048487968963e-29,4.089786297984718e-29,7.68936578277503e-28
8,0.9900990099009901,0.009900990099009844,5.136459468563758e-29,4.8766919550782057e-29,4.623554066163129e-29,9.215683688960554e-29,6.510846217984655e-28
9,0.9900990099009901,0.009900990099009932,3.0786545896263897e-29,6.969635722327973e-30,1.0843299768059323e-29,4.4104670389454105e-29,1.042562701351564e-28
10,0.9900990099009902,0.009900990099009827,1.4746938225947961e-28,6.204009748378073e-29,3.1269095688781796e-29,1.2972299174833012e-28,5.546225217274111e-29
11,0.9900990099009902,0.009900990099009807,1.1482973933915577e-29,1.910113342384495e-29,8.91887344035917e-30,8.937778998705798e-29,5.31622783300021e-28
