,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1, 1, 1, 1)",1.0398626404395372e-13,0.4289495956353744,256,61.3882417
1,"(2, 1, 1, 1, 1, 1, 1)",0.43105046425823274,0.43025563321254257,448,146.45158070000002
2,"(2, 2, 1, 1, 1, 1, 1)",0.04310504642572918,0.4289495956353739,736,593.7821061
3,"(2, 1, 1, 1, 1, 1, 2)",2.6019618558513636e-12,0.42894959563537394,1024,95.34334769999998
4,"(2, 1, 1, 2, 1, 1, 1)",2.1216917112099054e-12,0.42894959563537394,1312,101.71480559999998
5,"(2, 1, 1, 1, 1, 2, 1)",1.355289337546929e-12,0.42894959563537394,1600,87.74478129999989
6,"(2, 1, 2, 1, 1, 1, 1)",1.3443228012259094e-12,0.42894959563537394,1888,74.90733569999998
7,"(2, 1, 1, 1, 2, 1, 1)",6.59916565837193e-13,0.42894959563537394,2176,68.79537600000003
8,"(1, 1, 1, 1, 1, 2, 1)",2.681188604469753e-14,0.42894959563537394,2368,123.51161950000005
9,"(1, 1, 2, 1, 1, 1, 1)",2.6612971086118858e-14,0.42894959563537394,2560,185.12770339999997
10,"(3, 1, 1, 1, 1, 1, 1)",1.428371310119303e-14,0.42894959563537394,2816,178.30323019999992
11,"(1, 2, 2, 1, 1, 1, 1)",1.1524731786178361e-14,0.42894959563537394,3104,155.1864089999999
12,"(1, 1, 1, 1, 1, 2, 2)",2.297853265689456e-14,0.42894959563537394,3392,144.6917801999998
13,"(1, 1, 2, 1, 1, 2, 1)",2.7666140983089666e-14,0.42894959563537394,3680,139.87232859999995
14,"(1, 1, 2, 1, 2, 1, 1)",3.735900477863652e-14,0.42894959563537394,3968,77.95591439999998
15,"(1, 1, 1, 1, 1, 3, 1)",5.355785259730794e-14,0.42894959563537394,4224,59.04726299999993
16,"(1, 1, 1, 2, 1, 2, 1)",4.9222971377894785e-14,0.42894959563537394,4512,33.43382970000039
17,"(1, 1, 1, 1, 2, 2, 1)",4.761006403934213e-14,0.42894959563537394,4800,31.268089800000325
18,"(1, 1, 2, 2, 1, 1, 1)",2.4464997928753797e-14,0.42894959563537327,5088,26.00520080000024
19,"(1, 1, 2, 1, 1, 1, 2)",2.6916740441467686e-14,0.4289495956353739,5376,20.124001700000008
20,"(1, 2, 1, 1, 1, 2, 1)",2.3530560216360958e-14,0.42894959563537394,5664,15.175952900000084
21,"(1, 1, 1, 2, 1, 1, 1)",4.853524989319643e-14,0.42894959563537394,5856,31.05021240000042
22,"(1, 1, 3, 1, 1, 1, 1)",8.371775495064071e-15,0.42894959563537394,6112,26.018285200000264
23,"(1, 1, 1, 3, 1, 1, 1)",1.297781326847769e-13,0.42894959563537394,6368,23.672422799999822
24,"(1, 1, 1, 2, 2, 1, 1)",3.143473136112284e-14,0.42894959563537394,6656,17.51593869999988
25,"(1, 1, 1, 2, 1, 1, 2)",8.009025541532032e-15,0.42894959563537394,6944,13.131499300000087
26,"(1, 2, 1, 1, 1, 1, 1)",1.4562425339666636e-14,0.4289495956353734,7136,27.618377299999793
27,"(1, 2, 1, 1, 1, 1, 2)",4.337271282868945e-14,0.4289495956353738,7424,23.685434600000008
28,"(1, 2, 1, 1, 2, 1, 1)",2.316356982766542e-14,0.4289495956353754,7712,32.13555170000018
29,"(1, 3, 1, 1, 1, 1, 1)",4.9855952699573436e-14,0.42894959563537394,7968,17.17402250000032
30,"(1, 1, 1, 1, 2, 1, 1)",2.4434158400291988e-14,0.42894959563537405,8160,28.998019000000113
31,"(1, 1, 1, 1, 3, 1, 1)",4.042252643721156e-14,0.42894959563537405,8416,24.981998500000373
32,"(1, 1, 1, 1, 1, 1, 2)",2.958744360626042e-14,0.428949595635374,8608,36.83226670000022
33,"(1, 1, 1, 1, 2, 1, 2)",6.9450618095995905e-15,0.4289495956353738,8896,22.92624210000031
34,"(1, 1, 1, 1, 1, 1, 3)",4.997391389593986e-14,0.4289495956353732,9152,14.794517499999984
35,"(1, 2, 1, 2, 1, 1, 1)",4.425163938985103e-14,0.42894959563537394,9440,5.605601800000386
36,"(1, 2, 1, 2, 1, 1, 1)",4.425163938985103e-14,0.42894959563537394,9440,7.379913900000247
